ZIP,num_sch,num_work,num_personal,num_pickdrop,num_discret,num_shop,num_home,num_em,num_m,num_aft,num_evn,num_walk,num_bike,num_taxi,num_local_bus,num_inter_rail,num_intra_rail,num_auto,num_other
91766,8,16,2,2,12,22,16,14,61,61,84,32,0,0,2,1,0,166,0
91767,15,19,7,11,20,10,11,23,74,68,74,39,0,0,7,0,0,178,0
91768,16,19,13,13,16,1,5,14,53,38,27,12,0,0,6,0,0,112,0
91769,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
91770,1,23,0,8,5,11,3,3,28,30,19,1,0,0,0,0,0,73,0
91773,9,25,6,3,31,32,28,22,77,82,107,20,6,0,2,0,0,235,0
91775,7,3,2,4,3,10,9,6,25,32,44,3,0,0,1,0,0,89,0
91776,8,22,4,9,16,6,3,8,30,33,24,2,1,0,2,0,0,84,0
91780,14,18,6,14,25,4,14,2,67,56,60,9,0,0,3,0,0,160,0
91784,2,8,1,3,13,21,9,8,49,37,50,6,1,0,0,0,0,118,0
91786,12,31,21,36,40,57,9,16,111,117,112,5,8,0,0,2,0,327,0
91789,30,23,4,21,40,8,30,16,76,89,64,7,8,1,5,0,0,202,0
91790,3,14,6,14,21,19,5,9,52,68,38,16,3,1,4,0,0,131,0
91791,13,9,0,22,13,10,10,5,55,38,44,12,2,0,2,0,0,116,0
91792,5,17,1,6,5,10,12,2,39,47,18,8,0,0,2,0,0,85,0
91793,0,0,0,0,0,1,0,0,2,2,0,1,0,0,1,0,0,2,0
91801,13,26,7,15,22,25,13,9,76,93,109,35,7,0,9,0,0,222,0
91803,11,17,1,5,7,23,13,13,67,44,51,18,4,0,6,0,0,125,0
91901,7,5,0,2,20,10,15,2,21,33,15,2,2,0,6,0,0,53,0
91902,3,3,7,4,12,7,10,5,30,42,25,7,0,0,0,0,0,82,0
91905,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,6,0
91906,8,1,0,2,2,0,6,2,12,12,4,3,0,0,5,0,0,21,0
91910,18,38,12,9,25,21,11,18,88,118,87,22,6,0,5,0,0,254,0
91911,21,17,4,19,17,25,13,18,69,105,52,49,11,0,8,0,3,158,0
91913,12,6,2,9,6,8,12,5,31,43,35,11,0,0,0,0,0,92,0
91914,1,4,4,2,4,0,1,0,6,16,0,0,0,0,1,0,0,21,0
91915,9,5,0,13,6,6,8,5,22,26,27,6,4,0,0,0,0,69,0
91917,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
91932,12,5,2,3,2,2,8,9,25,34,45,33,10,0,3,0,0,53,0
91934,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91935,1,5,0,5,16,0,2,4,28,24,24,0,0,0,0,0,0,69,0
91941,7,8,2,5,19,4,26,22,65,52,67,13,3,0,2,0,0,145,0
91942,4,21,10,10,41,52,9,7,82,100,70,4,8,0,1,0,0,229,0
91945,0,5,1,4,6,20,7,7,32,40,30,15,0,0,4,0,0,79,0
91948,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
91950,10,13,1,21,26,33,3,20,99,93,75,37,0,0,16,0,2,211,0
91962,1,2,0,0,2,0,0,0,2,3,0,0,1,0,1,0,0,3,0
91963,0,0,0,0,2,0,2,0,2,4,0,0,0,0,0,0,0,9,0
91977,0,8,0,0,3,1,5,10,28,28,25,1,5,0,1,0,0,65,0
91978,1,3,0,0,1,1,0,0,4,3,0,1,0,0,1,0,0,5,0
91980,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0
92003,2,5,0,1,3,0,5,8,2,3,10,0,0,0,0,0,0,20,0
92004,0,0,0,2,2,0,2,0,4,2,4,3,0,0,0,0,0,7,0
92007,3,2,0,4,17,3,8,0,13,26,15,3,0,0,0,0,0,52,0
92008,4,23,1,4,16,18,6,13,24,65,26,8,2,0,2,0,0,113,2
92009,19,9,2,10,28,9,22,15,65,64,72,8,0,0,1,0,0,173,0
92010,0,3,0,2,1,4,0,0,7,6,0,0,0,0,0,0,0,14,0
92011,2,9,8,12,16,6,9,3,57,37,32,0,0,0,0,0,0,119,0
92014,0,9,5,5,21,7,3,6,40,43,28,15,0,0,2,0,0,91,0
92019,9,9,3,17,24,17,2,6,58,45,40,8,1,0,1,0,0,131,0
92020,14,30,11,28,37,16,15,20,110,111,62,39,4,1,15,0,2,218,0
92021,2,24,9,4,12,7,11,6,60,67,50,23,3,0,5,0,0,126,0
92022,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
92024,13,7,19,13,55,48,20,7,113,110,68,30,3,1,0,0,0,230,0
92025,13,21,11,6,35,27,20,8,92,90,91,25,14,0,4,1,2,220,0
92026,12,9,2,11,21,2,6,8,43,37,36,1,3,0,0,0,0,105,0
92027,1,8,2,4,20,22,8,4,34,67,22,1,4,0,0,0,0,110,0
92028,14,6,2,6,27,6,6,11,44,56,38,4,4,1,10,0,0,115,0
92029,12,9,1,5,15,3,7,8,41,21,77,7,3,0,0,0,0,117,0
92036,0,0,0,0,5,3,0,2,0,9,4,0,0,0,0,0,0,13,0
92037,15,32,12,6,48,8,11,3,96,76,45,26,9,0,14,0,0,158,0
92040,8,7,3,2,14,2,20,2,45,38,32,40,0,0,0,0,0,64,0
92054,8,12,5,13,15,12,2,12,46,53,24,16,2,0,4,2,2,113,0
92055,0,2,0,0,2,0,0,3,5,1,0,0,0,0,0,0,0,9,0
92056,18,10,6,19,6,10,11,13,45,65,28,4,6,0,0,0,0,134,0
92057,6,4,2,0,11,14,7,7,34,49,39,15,1,0,11,0,0,84,0
92058,6,9,5,6,7,4,1,13,19,34,26,23,3,0,3,0,0,55,0
92059,0,2,0,0,7,0,0,0,5,0,4,0,0,0,0,0,0,8,0
92060,0,1,0,0,0,0,1,2,1,4,1,0,0,0,0,0,0,4,0
92061,0,5,0,0,3,0,1,0,4,4,3,0,0,0,0,0,0,7,0
92064,22,31,3,21,34,25,5,23,92,103,80,16,4,0,4,0,0,263,0
92065,11,14,2,6,25,6,14,11,29,79,43,9,8,0,5,0,0,129,0
92069,17,20,4,17,13,30,27,10,84,103,42,13,19,0,0,1,0,183,0
92070,0,0,0,0,5,0,0,0,0,6,4,0,0,0,0,0,0,10,0
92071,10,9,2,19,31,20,11,12,54,70,63,1,0,0,1,0,2,185,0
92075,3,7,5,7,16,7,3,5,29,33,15,6,1,0,2,0,0,71,0
92078,9,13,11,14,30,30,27,7,76,94,70,6,2,0,0,0,0,220,0
92081,1,6,7,7,8,7,3,5,31,28,27,12,0,0,0,0,0,74,0
92082,4,8,3,0,14,2,5,4,19,26,16,2,0,0,2,0,0,47,0
92083,12,3,2,5,16,6,1,7,40,16,24,10,4,0,0,0,0,70,0
92084,10,6,6,2,24,7,9,7,56,48,58,17,3,0,0,0,0,125,0
92086,0,0,0,0,3,0,2,2,0,5,2,0,0,0,0,0,0,7,0
92091,0,4,0,4,2,0,0,0,7,2,2,0,0,0,0,0,0,11,0
92093,1,1,0,0,2,0,0,0,3,0,1,1,0,0,1,0,0,3,0
92096,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
92101,4,97,27,33,88,24,15,30,191,157,148,182,8,14,41,5,10,235,21
92102,13,19,2,5,15,17,6,10,52,54,53,39,0,0,9,1,0,102,0
92103,13,22,18,7,31,28,10,8,69,83,72,33,16,0,9,0,0,176,0
92104,7,18,4,6,11,20,18,3,60,69,77,29,1,0,14,0,0,136,0
92105,7,6,3,8,28,9,20,16,58,56,56,42,6,0,12,0,0,113,0
92106,7,17,8,4,13,9,6,11,44,54,39,17,0,0,0,0,0,118,0
92107,2,5,1,5,16,2,11,6,31,20,43,9,0,0,0,0,0,81,0
92108,1,31,9,3,34,44,1,6,55,74,49,5,0,0,4,0,0,175,0
92109,6,18,6,7,79,13,19,8,91,58,59,35,2,0,4,0,0,160,0
92110,3,21,11,0,31,27,13,9,58,66,46,21,0,0,9,0,5,132,0
92111,24,13,10,19,25,20,5,7,68,54,72,14,9,0,2,0,0,166,0
92113,2,16,6,9,11,12,4,8,51,50,29,29,0,0,6,0,0,93,0
92114,0,3,3,3,10,2,8,9,24,31,16,11,0,0,9,0,0,50,0
92115,23,21,7,17,19,19,6,8,70,83,66,28,3,0,9,0,0,168,0
92116,4,11,2,7,10,2,13,5,56,50,51,22,0,0,3,0,0,113,0
